year,country.eci,ECI,eci.plus,continent,iso_3c
1969,Lebanon,0.533752,0.778901,as,LBN
1969,Sri Lanka,-0.908343,-1.01468,as,LKA
1969,Burma,-1.13729,-1.19826,as,MMR
1969,Malaysia,-0.579548,-0.273152,as,MYS
1969,Oman,-1.40809,-0.757775,as,OMN
1969,Pakistan,-0.368162,0.01739,as,PAK
1969,Philippines,-0.540272,-0.65177,as,PHL
1969,Qatar,-0.645333,-1.01699,as,QAT
1969,Saudi Arabia,-0.62291,-0.978632,as,SAU
1969,Singapore,0.131842,0.423522,as,SGP
1969,Syria,-0.502398,-0.492337,as,SYR
1969,Thailand,-0.841727,-0.596731,as,THA
1969,Turkey,-0.850097,-0.35317,as,TUR
1969,Vietnam,-0.201158,0.250921,as,VNM
1969,Albania,0.061086,0.003686,eu,ALB
1969,Austria,1.92701,1.64514,eu,AUT
1969,Belgium,1.52145,1.49878,eu,BEL
1969,Bulgaria,0.530517,0.650383,eu,BGR
1969,Switzerland,2.09088,1.76841,eu,CHE
1969,Germany,2.28258,1.8489,eu,DEU
1969,Denmark,1.32305,1.32361,eu,DNK
1969,Spain,0.805464,0.896997,eu,ESP
1969,Finland,1.45759,1.34421,eu,FIN
1969,France,1.73018,1.54293,eu,FRA
1969,United Kingdom,2.03973,1.707,eu,GBR
1969,Greece,0.117929,0.290666,eu,GRC
1969,Hungary,1.02343,0.967402,eu,HUN
1969,Ireland,0.879141,0.99058,eu,IRL
